trade_id,entry_time,exit_time,entry_price,minutes_held,lot1_exit_reason,lot2_exit_reason,lot1_exit_price,lot2_exit_price,total_pnl,positive_move_percent,negative_move_percent,win
23,2026-03-05 06:12:00+05:30,2026-03-05 08:51:00+05:30,72909.0,159,take_profit_250pips,time_exit_159min,72911.5,72559.5,-121.44999999999999,0.21739428602778804,-0.9292405601503243,False
24,2026-03-05 09:36:00+05:30,2026-03-05 12:15:00+05:30,72548.0,159,take_profit_250pips,time_exit_159min,72550.5,72402.5,-50.05,0.2901527264707504,-1.1268401609968572,False
25,2026-03-05 12:19:00+05:30,2026-03-05 14:58:00+05:30,72536.0,159,take_profit_250pips,time_exit_159min,72538.5,72654.5,42.349999999999994,1.3738005955663395,-0.19576486158597112,True
26,2026-03-05 17:38:00+05:30,2026-03-05 20:17:00+05:30,72900.0,159,take_profit_250pips,time_exit_159min,72902.5,72190.0,-247.62499999999997,-0.21193415637860083,-2.9314128943758573,False
27,2026-03-05 20:29:00+05:30,2026-03-05 23:08:00+05:30,72582.5,159,take_profit_250pips,time_exit_159min,72585.0,70801.5,-622.4749999999999,-1.6154031619191953,-2.7045086625564014,False
28,2026-03-06 01:15:00+05:30,2026-03-06 03:54:00+05:30,71030.0,159,take_profit_250pips,time_exit_159min,71032.5,71265.5,83.3,0.44347458820216806,-0.3984232014641701,True
29,2026-03-06 08:47:00+05:30,2026-03-06 11:26:00+05:30,71026.5,159,take_profit_250pips,time_exit_159min,71029.0,70379.5,-225.57500000000005,0.19851745475280352,-1.12493224359922,False
30,2026-03-06 12:14:00+05:30,2026-03-06 14:53:00+05:30,70633.5,159,take_profit_250pips,time_exit_159min,70636.0,70498.0,-46.55000000000001,0.20174563061436854,-0.7935328137498495,False
31,2026-03-06 17:07:00+05:30,2026-03-06 19:46:00+05:30,70566.5,159,take_profit_250pips,time_exit_159min,70569.0,68741.5,-637.875,-2.102272324686643,-3.4478116386670727,False
32,2026-03-07 00:11:00+05:30,2026-03-07 02:50:00+05:30,68389.5,159,take_profit_250pips,time_exit_159min,68392.0,68094.5,-102.375,0.03582421278120179,-0.7164842556240358,False
33,2026-03-07 05:11:00+05:30,2026-03-07 07:50:00+05:30,68181.0,159,take_profit_250pips,time_exit_159min,68183.5,68207.5,10.149999999999999,0.5118728091403764,-0.5881403910180255,True
34,2026-03-07 18:02:00+05:30,2026-03-07 20:41:00+05:30,67985.0,159,take_profit_250pips,time_exit_159min,67987.5,67916.0,-23.275,0.03236007942928587,-0.4596602191659925,False
35,2026-03-08 03:50:00+05:30,2026-03-08 06:29:00+05:30,67310.0,159,take_profit_250pips,time_exit_159min,67312.5,67168.0,-48.824999999999996,0.14410934482246324,-0.7517456544347051,False
36,2026-03-08 06:47:00+05:30,2026-03-08 09:26:00+05:30,67288.0,159,take_profit_250pips,time_exit_159min,67290.5,67031.0,-89.07499999999999,-0.09214124360955891,-1.1465640233028178,False
37,2026-03-08 10:48:00+05:30,2026-03-08 13:27:00+05:30,67008.5,159,take_profit_250pips,time_exit_159min,67011.0,67251.5,85.925,1.7423162733086102,0.17684323630584178,True
38,2026-03-08 20:35:00+05:30,2026-03-08 23:14:00+05:30,67231.0,159,take_profit_250pips,time_exit_159min,67233.5,67028.0,-70.175,0.32574258898424835,-0.7570912227990064,False
39,2026-03-09 01:55:00+05:30,2026-03-09 04:34:00+05:30,67029.5,159,take_profit_250pips,time_exit_159min,67032.0,66357.0,-234.49999999999997,-0.4363750289051835,-1.8641046106565018,False
40,2026-03-09 13:13:00+05:30,2026-03-09 15:52:00+05:30,67416.5,159,take_profit_250pips,time_exit_159min,67419.0,67878.0,162.39999999999998,1.3386930499210132,-0.16168148746968472,True
41,2026-03-09 21:06:00+05:30,2026-03-09 23:45:00+05:30,68774.5,159,take_profit_250pips,time_exit_159min,68777.0,68433.0,-118.64999999999999,1.0534427731208515,-0.6957520592661524,False
42,2026-03-10 03:11:00+05:30,2026-03-10 05:50:00+05:30,68883.5,159,take_profit_250pips,time_exit_159min,68886.0,68604.5,-96.77500000000002,2.4374487359091797,-0.4195489485871072,False
43,2026-03-10 09:23:00+05:30,2026-03-10 12:02:00+05:30,69444.5,159,take_profit_250pips,time_exit_159min,69447.0,70050.0,212.79999999999998,2.321278142977486,0.5104795916163267,True
44,2026-03-10 12:30:00+05:30,2026-03-10 15:09:00+05:30,69892.0,159,take_profit_250pips,time_exit_159min,69894.5,71094.0,421.575,1.8278200652435188,0.6209580495621816,True
45,2026-03-10 20:11:00+05:30,2026-03-10 22:50:00+05:30,70396.0,159,take_profit_250pips,time_exit_159min,70398.5,71205.5,284.2,1.2699585203704755,-0.9965054832660947,True
46,2026-03-11 02:21:00+05:30,2026-03-11 05:00:00+05:30,70217.0,159,take_profit_250pips,time_exit_159min,70219.5,69749.5,-162.75,-0.10752381901818649,-0.7163507412734808,False
47,2026-03-11 05:02:00+05:30,2026-03-11 07:41:00+05:30,69850.0,159,take_profit_250pips,time_exit_159min,69852.5,69990.5,50.05,0.27773801002147464,-0.5554760200429493,True
48,2026-03-11 07:55:00+05:30,2026-03-11 10:34:00+05:30,69897.5,159,take_profit_250pips,time_exit_159min,69900.0,70097.0,70.69999999999999,0.3004399298973497,-0.7553918237419078,True
49,2026-03-11 11:49:00+05:30,2026-03-11 14:28:00+05:30,69730.5,159,take_profit_250pips,time_exit_159min,69733.0,69584.5,-50.224999999999994,0.008604556112461548,-0.5356336180007314,False
50,2026-03-11 15:19:00+05:30,2026-03-11 17:58:00+05:30,69637.5,159,take_profit_250pips,time_exit_159min,69640.0,69359.5,-96.425,2.0549273021001615,-0.7431340872374798,False
51,2026-03-11 18:01:00+05:30,2026-03-11 20:40:00+05:30,69494.0,159,take_profit_250pips,time_exit_159min,69496.5,70316.0,288.575,2.5894321811954986,0.18778599591331627,True
52,2026-03-11 21:51:00+05:30,2026-03-12 00:30:00+05:30,70325.0,159,take_profit_250pips,time_exit_159min,70327.5,70582.5,91.0,0.5958051901884109,0.022751510842516885,True
53,2026-03-12 09:39:00+05:30,2026-03-12 12:18:00+05:30,69610.5,159,take_profit_250pips,time_exit_159min,69613.0,69433.5,-61.074999999999996,0.6859597330862441,-0.33543790089138853,False
54,2026-03-12 14:47:00+05:30,2026-03-12 17:26:00+05:30,69624.0,159,take_profit_250pips,time_exit_159min,69626.5,70408.5,275.45,1.447058485579685,0.007181431690221763,True
55,2026-03-12 19:41:00+05:30,2026-03-12 22:20:00+05:30,70325.5,159,take_profit_250pips,time_exit_159min,70328.0,70444.0,42.349999999999994,0.2595075754882653,-0.8460657940576319,True
