entry_idx,exit_idx,entry_time,exit_time,entry_price,lot1_exit_price,lot2_exit_price,lot1_size,lot2_size,lot1_pnl,lot2_pnl,total_pnl,win,lot1_exit_reason,lot2_exit_reason,minutes_held,sma_value,volume_ratio,inside_bar_range,prev_bar_range,positive_move_after_159min,negative_move_after_159min,risk_reward,bar_ratio
4538,4697,2026-03-01 05:37:00+05:30,2026-03-01 08:16:00+05:30,66870.5,66873.0,68116.5,0.35,0.35,0.875,436.09999999999997,436.97499999999997,True,take_profit_250pips,time_exit_159min,159,66886.13265306123,0,60.5,149.0,1.9074180692532583,0.2796449854569653,1.0,0.4060375433721921
5255,5414,2026-03-01 17:34:00+05:30,2026-03-01 20:13:00+05:30,66460.0,66462.5,66778.5,0.35,0.35,0.875,111.475,112.35,True,take_profit_250pips,time_exit_159min,159,66483.73724489796,0,35.0,51.0,1.1518206439963887,-1.142792657237436,1.0,0.6862610537048294
5857,6016,2026-03-02 03:36:00+05:30,2026-03-02 06:15:00+05:30,65670.5,65673.0,66622.5,0.35,0.35,0.875,333.2,334.075,True,take_profit_250pips,time_exit_159min,159,65674.69642857143,0,25.5,56.5,2.140991769515993,0.2801866896094898,1.0,0.45131944567352794
6098,6257,2026-03-02 07:37:00+05:30,2026-03-02 10:16:00+05:30,66129.5,66132.0,66684.0,0.35,0.35,0.875,194.075,194.95,True,take_profit_250pips,time_exit_159min,159,66118.76275510204,0,102.5,419.5,1.2702349178505812,-0.9194081310156585,1.0,0.2443379157618218
6331,6490,2026-03-02 11:30:00+05:30,2026-03-02 14:09:00+05:30,66673.0,65897.0,65897.0,0.35,0.35,-271.59999999999997,-271.59999999999997,-543.1999999999999,False,time_exit_159min,time_exit_159min,159,66683.67857142857,0,46.0,89.5,0.03599658032486914,-1.2703793139651733,1.0,0.5139607378688505
6656,6815,2026-03-02 16:55:00+05:30,2026-03-02 19:34:00+05:30,66123.0,66125.5,65391.0,0.35,0.35,0.875,-256.2,-255.325,False,take_profit_250pips,time_exit_159min,159,66173.49489795919,0,75.0,182.0,5.47540190251501,-1.326316107859595,1.0,0.41208564788105556
7084,7243,2026-03-03 00:03:00+05:30,2026-03-03 02:42:00+05:30,69172.0,69174.5,69106.5,0.35,0.35,0.875,-22.924999999999997,-22.049999999999997,False,take_profit_250pips,time_exit_159min,159,69209.08673469388,0,85.0,149.5,0.4821314982941074,-0.6729601572890765,1.0,0.5685580698456867
7369,7528,2026-03-03 04:48:00+05:30,2026-03-03 07:27:00+05:30,69196.5,69199.0,68788.5,0.35,0.35,0.875,-142.79999999999998,-141.92499999999998,False,take_profit_250pips,time_exit_159min,159,69220.0306122449,0,45.5,64.0,-0.552773622943357,-1.50513393018433,1.0,0.7109263917751285
7868,8027,2026-03-03 13:07:00+05:30,2026-03-03 15:46:00+05:30,68080.5,68083.0,66425.5,0.35,0.35,0.875,-579.25,-578.375,False,take_profit_250pips,time_exit_159min,159,68084.8086734694,0,29.0,58.5,-0.15422918456826845,-2.4588538568312512,1.0,0.4957180219141553
8256,8415,2026-03-03 19:35:00+05:30,2026-03-03 22:14:00+05:30,67112.5,67115.0,67710.5,0.35,0.35,0.875,209.29999999999998,210.17499999999998,True,take_profit_250pips,time_exit_159min,159,67097.11734693877,0,103.5,171.5,2.647792885081021,0.5714285714285714,1.0,0.6034950233526335
8619,8778,2026-03-04 01:38:00+05:30,2026-03-04 04:17:00+05:30,68366.5,68369.0,68292.0,0.35,0.35,0.875,-26.075,-25.2,False,take_profit_250pips,time_exit_159min,159,68356.67091836735,0,90.0,123.5,0.675038213159954,-0.7810843029846489,1.0,0.7287390385502951
10065,10224,2026-03-05 01:44:00+05:30,2026-03-05 04:23:00+05:30,73399.5,73402.0,72666.5,0.35,0.35,0.875,-256.55,-255.675,False,take_profit_250pips,time_exit_159min,159,73408.61989795919,0,37.5,51.5,-0.13555950653614807,-1.5197651210158107,1.0,0.7281412011417254
10333,10492,2026-03-05 06:12:00+05:30,2026-03-05 08:51:00+05:30,72909.0,72911.5,72559.5,0.35,0.35,0.875,-122.32499999999999,-121.44999999999999,False,take_profit_250pips,time_exit_159min,159,72901.32908163265,0,51.0,144.0,0.21739428602778804,-0.9292405601503243,1.0,0.35416420719300556
10537,10696,2026-03-05 09:36:00+05:30,2026-03-05 12:15:00+05:30,72548.0,72550.5,72402.5,0.35,0.35,0.875,-50.925,-50.05,False,take_profit_250pips,time_exit_159min,159,72619.02040816327,0,101.5,127.5,0.2901527264707504,-1.1268401609968572,1.0,0.7960721876691162
10700,10859,2026-03-05 12:19:00+05:30,2026-03-05 14:58:00+05:30,72536.0,72538.5,72654.5,0.35,0.35,0.875,41.474999999999994,42.349999999999994,True,take_profit_250pips,time_exit_159min,159,72511.0637755102,0,89.5,109.0,1.3738005955663395,-0.19576486158597112,1.0,0.8210933844643626
11019,11178,2026-03-05 17:38:00+05:30,2026-03-05 20:17:00+05:30,72900.0,72902.5,72190.0,0.35,0.35,0.875,-248.49999999999997,-247.62499999999997,False,take_profit_250pips,time_exit_159min,159,72837.03826530612,0,67.5,117.5,-0.21193415637860083,-2.9314128943758573,1.0,0.5744631960579059
11190,11349,2026-03-05 20:29:00+05:30,2026-03-05 23:08:00+05:30,72582.5,72585.0,70801.5,0.35,0.35,0.875,-623.3499999999999,-622.4749999999999,False,take_profit_250pips,time_exit_159min,159,72620.69897959183,0,74.0,281.5,-1.6154031619191953,-2.7045086625564014,1.0,0.2628765084315864
11476,11635,2026-03-06 01:15:00+05:30,2026-03-06 03:54:00+05:30,71030.0,71032.5,71265.5,0.35,0.35,0.875,82.425,83.3,True,take_profit_250pips,time_exit_159min,159,71025.09183673469,0,54.5,108.5,0.44347458820216806,-0.3984232014641701,1.0,0.5022995179767928
11928,12087,2026-03-06 08:47:00+05:30,2026-03-06 11:26:00+05:30,71026.5,71029.0,70379.5,0.3500000000000001,0.3500000000000001,0.8750000000000002,-226.45000000000005,-225.57500000000005,False,take_profit_250pips,time_exit_159min,159,71027.17602040817,0,33.0,74.0,0.19851745475280352,-1.12493224359922,1.0,0.4459399197308144
12135,12294,2026-03-06 12:14:00+05:30,2026-03-06 14:53:00+05:30,70633.5,70636.0,70498.0,0.3500000000000001,0.3500000000000001,0.8750000000000002,-47.42500000000001,-46.55000000000001,False,take_profit_250pips,time_exit_159min,159,70614.4693877551,0,44.0,94.5,0.20174563061436854,-0.7935328137498495,1.0,0.46560353858689324
12428,12587,2026-03-06 17:07:00+05:30,2026-03-06 19:46:00+05:30,70566.5,70569.0,68741.5,0.35,0.35,0.875,-638.75,-637.875,False,take_profit_250pips,time_exit_159min,159,70599.55102040817,0,49.5,110.0,-2.102272324686643,-3.4478116386670727,1.0,0.44999590912809884
12852,13011,2026-03-07 00:11:00+05:30,2026-03-07 02:50:00+05:30,68389.5,68392.0,68094.5,0.35,0.35,0.875,-103.25,-102.375,False,take_profit_250pips,time_exit_159min,159,68377.72448979592,0,34.0,48.0,0.03582421278120179,-0.7164842556240358,1.0,0.7083185766963188
13152,13311,2026-03-07 05:11:00+05:30,2026-03-07 07:50:00+05:30,68181.0,68183.5,68207.5,0.35,0.35,0.875,9.274999999999999,10.149999999999999,True,take_profit_250pips,time_exit_159min,159,68184.70153061225,0,18.0,28.5,0.5118728091403764,-0.5881403910180255,1.0,0.631556787481141
13923,14082,2026-03-07 18:02:00+05:30,2026-03-07 20:41:00+05:30,67985.0,67987.5,67916.0,0.35,0.35,0.875,-24.15,-23.275,False,take_profit_250pips,time_exit_159min,159,67985.99744897959,0,29.5,41.0,0.03236007942928587,-0.4596602191659925,1.0,0.7194946464720373
14511,14670,2026-03-08 03:50:00+05:30,2026-03-08 06:29:00+05:30,67310.0,67312.5,67168.0,0.35,0.35,0.875,-49.699999999999996,-48.824999999999996,False,take_profit_250pips,time_exit_159min,159,67314.61989795919,0,18.0,34.5,0.14410934482246324,-0.7517456544347051,1.0,0.5217240079997681
14688,14847,2026-03-08 06:47:00+05:30,2026-03-08 09:26:00+05:30,67288.0,67290.5,67031.0,0.35,0.35,0.875,-89.94999999999999,-89.07499999999999,False,take_profit_250pips,time_exit_159min,159,67287.23979591837,0,7.0,41.0,-0.09214124360955891,-1.1465640233028178,1.0,0.17072754323065292
14929,15088,2026-03-08 10:48:00+05:30,2026-03-08 13:27:00+05:30,67008.5,67011.0,67251.5,0.35,0.35,0.875,85.05,85.925,True,take_profit_250pips,time_exit_159min,159,67004.5,0,43.0,56.0,1.7423162733086102,0.17684323630584178,1.0,0.767843431367297
15516,15675,2026-03-08 20:35:00+05:30,2026-03-08 23:14:00+05:30,67231.0,67233.5,67028.0,0.35,0.35,0.875,-71.05,-70.175,False,take_profit_250pips,time_exit_159min,159,67236.24744897959,0,92.0,141.5,0.32574258898424835,-0.7570912227990064,1.0,0.6501720835895153
15836,15995,2026-03-09 01:55:00+05:30,2026-03-09 04:34:00+05:30,67029.5,67032.0,66357.0,0.35,0.35,0.875,-235.37499999999997,-234.49999999999997,False,take_profit_250pips,time_exit_159min,159,67037.08928571429,0,26.0,63.0,-0.4363750289051835,-1.8641046106565018,1.0,0.412691862033936
16514,16673,2026-03-09 13:13:00+05:30,2026-03-09 15:52:00+05:30,67416.5,67419.0,67878.0,0.35,0.35,0.875,161.52499999999998,162.39999999999998,True,take_profit_250pips,time_exit_159min,159,67400.66581632652,0,29.0,108.0,1.3386930499210132,-0.16168148746968472,1.0,0.26851603225896054
16987,17146,2026-03-09 21:06:00+05:30,2026-03-09 23:45:00+05:30,68774.5,68777.0,68433.0,0.35,0.35,0.875,-119.52499999999999,-118.64999999999999,False,take_profit_250pips,time_exit_159min,159,68750.70918367348,0,67.0,178.5,1.0534427731208515,-0.6957520592661524,1.0,0.37534803726589766
17352,17511,2026-03-10 03:11:00+05:30,2026-03-10 05:50:00+05:30,68883.5,68886.0,68604.5,0.3500000000000001,0.3500000000000001,0.8750000000000002,-97.65000000000002,-96.77500000000002,False,take_profit_250pips,time_exit_159min,159,68810.54846938775,0,150.0,267.0,2.4374487359091797,-0.4195489485871072,1.0,0.5617956487054356
17724,17883,2026-03-10 09:23:00+05:30,2026-03-10 12:02:00+05:30,69444.5,69447.0,70050.0,0.35,0.35,0.875,211.92499999999998,212.79999999999998,True,take_profit_250pips,time_exit_159min,159,69511.25,0,108.5,155.0,2.321278142977486,0.5104795916163267,1.0,0.6999954839001038
17911,18070,2026-03-10 12:30:00+05:30,2026-03-10 15:09:00+05:30,69892.0,69894.5,71094.0,0.35,0.35,0.875,420.7,421.575,True,take_profit_250pips,time_exit_159min,159,69878.14030612246,0,38.5,91.0,1.8278200652435188,0.6209580495621816,1.0,0.4230722739310557
18372,18531,2026-03-10 20:11:00+05:30,2026-03-10 22:50:00+05:30,70396.0,70398.5,71205.5,0.35,0.35,0.875,283.325,284.2,True,take_profit_250pips,time_exit_159min,159,70308.26020408163,0,111.0,291.0,1.2699585203704755,-0.9965054832660947,1.0,0.381441988171862
18742,18901,2026-03-11 02:21:00+05:30,2026-03-11 05:00:00+05:30,70217.0,70219.5,69749.5,0.35,0.35,0.875,-163.625,-162.75,False,take_profit_250pips,time_exit_159min,159,70218.19387755102,0,18.5,64.0,-0.10752381901818649,-0.7163507412734808,1.0,0.2890579834690083
18903,19062,2026-03-11 05:02:00+05:30,2026-03-11 07:41:00+05:30,69850.0,69852.5,69990.5,0.35,0.35,0.875,49.175,50.05,True,take_profit_250pips,time_exit_159min,159,69857.75510204081,0,80.0,175.0,0.27773801002147464,-0.5554760200429493,1.0,0.4571402449128862
19076,19235,2026-03-11 07:55:00+05:30,2026-03-11 10:34:00+05:30,69897.5,69900.0,70097.0,0.35,0.35,0.875,69.82499999999999,70.69999999999999,True,take_profit_250pips,time_exit_159min,159,69929.02551020408,0,71.0,81.5,0.3004399298973497,-0.7553918237419078,1.0,0.8711549551539245
19310,19469,2026-03-11 11:49:00+05:30,2026-03-11 14:28:00+05:30,69730.5,69733.0,69584.5,0.35,0.35,0.875,-51.099999999999994,-50.224999999999994,False,take_profit_250pips,time_exit_159min,159,69728.13520408163,0,47.0,95.5,0.008604556112461548,-0.5356336180007314,1.0,0.49214144354509376
19520,19679,2026-03-11 15:19:00+05:30,2026-03-11 17:58:00+05:30,69637.5,69640.0,69359.5,0.35,0.35,0.875,-97.3,-96.425,False,take_profit_250pips,time_exit_159min,159,69653.99489795919,0,60.0,108.0,2.0549273021001615,-0.7431340872374798,1.0,0.5555504115702632
19682,19841,2026-03-11 18:01:00+05:30,2026-03-11 20:40:00+05:30,69494.0,69496.5,70316.0,0.35,0.35,0.875,287.7,288.575,True,take_profit_250pips,time_exit_159min,159,69448.96173469388,0,129.0,346.5,2.5894321811954986,0.18778599591331627,1.0,0.3722932978548403
19912,20071,2026-03-11 21:51:00+05:30,2026-03-12 00:30:00+05:30,70325.0,70327.5,70582.5,0.35,0.35,0.875,90.125,91.0,True,take_profit_250pips,time_exit_159min,159,70286.07397959183,0,71.5,116.0,0.5958051901884109,0.022751510842516885,1.0,0.6163739967758899
